,x,y,content,class
0,-0.18224309193059954,-0.1780223233342099,guys love best u i  ,4
1,-0.20652034323483226,-0.20884414903383902,talk besties im cant girl wait one tonight meeting  ,4
2,-0.22585970280692114,-0.21509634489608034,sweetheart hin i got thanks show sunisa add dc area twitter meet  ,4
3,-0.13675406128426343,-0.1344201574286068,cheap being really real soup sick much hurts make food friends eat plus  ,4
4,-0.1804708726259801,-0.15976178387819653,effect everyone  ,4
5,-0.1777976858386008,-0.1647169927653722,tell laughing sulk come really you burst thanks making loud i  ,4
6,0.36970311393930894,-0.08199852202237107,already response find answer thans ihad  ,4
7,-0.1887232045493918,-0.17312765372887415,great time show hope jealous your love acm i vegas  ,4
8,-0.2001735848001904,-0.17591215840979185,finally ah fletcher mr joining congrats twitter  ,4
9,-0.13568530345523935,-0.1629300255858551,type responded errors cat stupid forgive helping i  ,4
10,8.205046458787477,0.18056147629906918,school ha watch hills told birthday happy crazy straiiight hours day jb  ,4
11,-0.16027199897791178,-0.15658346985839114,two men did show half about how love and that forget i  ,4
12,-0.24117697987948686,-0.14347101498489487,n't hang worry you haha  ,4
13,-0.25372374163470507,-0.1053960168089045,may already later addicting n't wo this usual least lost at nights feeling one many cause i  ,4
14,-0.17159381669604312,0.09657726690547803,permission miss n't lol video link make better lt so dm blessing first i gt sure post  ,4
15,-1.483651855747377,1.045612714272594,just added new tweetie iphone  ,4
16,-0.1324769660372671,-0.12677855625572734,yeah makakasama din really sana n't ko ako kung na gumaling para alam globe think know  ,4
17,-0.22723623248753821,-0.3217910666011153,sweet picture  ,4
18,-0.21966393447048757,-0.19345202274511983,cutting dinner random catching up early rss emails tonight bacn then i  ,4
19,-0.19482618752034803,-0.1299966696492066,room dizzy jamming getting ipod dancing well pjs asked around twitter  ,4
20,-0.170906681767634,-0.1593019550687255,contest peeps n't anyways did voting place thanks  ,4
21,-0.1536765753983277,-0.15194351716731422,goodnight bed dreams everyone going sweet  ,4
22,-0.14821392524482413,-0.1372919415114548,walking tomorrow deposit put  ,4
23,-0.16806328615144484,-0.2827623245922577,tha followinq shud now  ,4
24,-0.19187330798654148,-0.18564542998196623,twittering meant toilet are back quot somewhere add cubicle  ,4
25,-0.15833321969395556,-0.15629509072676204,cutie puppy holding aw well new mine he  ,4
26,-0.11682824476733593,-0.11374866953976992,kitteh crotch sleepin likes proves  ,4
27,-0.18182536178196007,-0.19164135559218193,agreed  ,4
28,-0.15285782358352998,-0.14954529794819962,hour bus find amritsar wagah reaching border  ,4
29,-0.18405242582309975,-0.1580537736572311,famous star let super you interview tonight thinking first i  ,4
30,-0.2076494063560277,-0.17554728635453573,time happy family spend  ,4
31,-0.2221228468142693,-0.1290870715662649,finally watch bed gon na tired didnt going the was hills  ,4
32,-0.18641141344651332,-0.01800983386383628,craving throat effing pina hurting colada/banana tired crazy ooooohh slushie got  ,4
33,-0.1379180387584511,-0.12847470016677348,dong upload indowebster di banggggg  ,4
34,-1.1981385840999441,-0.1825550496116599,welcome glad enjoyed  ,4
35,-0.18393147541678415,-0.14182797944593326,both omg ryt hahaha hook wer cuz how laughin d das rolll sheldawg  ,4
36,-0.193066122101628,-0.1829664477761844,better nurse bag pookie feel awww pray i  ,4
37,-0.2145126182862975,-0.15966708928297477,buddy yay new found cuddle  ,4
38,-0.16267218714235215,-0.1592331025025262,met snob i first life bad tonight too goes twitter think quot  ,4
39,-0.14393634947465583,-0.13892700495108198,tomorrow rehearsal across universe sleep  ,4
40,-0.17812072280061947,-0.15448704078691594,huh sweet dry potato  ,4
41,-0.16420522600750023,-0.15304886488508318,hope bus knight cruise you see great hear wait loved well hi i jon  ,4
42,-0.14827635422290752,-0.19745684518771917,phone long mom conversation  ,4
43,-0.33392141860104113,0.3033235647820022,lol yayyy say requested herrr  ,4
44,-0.1773633085784267,-0.16239853958792907,driving lines/mannerisms/voices shoot probably upcoming practicing brock feature crazy  ,4
45,-0.4382800120382417,-3.4958291050663535,go time read i cant new twilight enough going moon series  ,4
46,-0.11570140113859907,-0.07206110863598443,diana two sooooooo woot heels won the today omg ncaa anniversary dont month tar even love know much  ,4
47,-0.14047671812607654,-0.1259661951801496,i bored  ,4
48,-0.1756369877489814,-0.15708292193578893,asking square wallpaper red i  ,4
49,-0.1631334084245088,-0.14178998486691805,already response find thanks answer ihad  ,4
50,-0.15803238287566856,0.15927168313448853,yeah noticed well bb cuz i  ,4
51,-0.22415000540221428,-0.14600254592527687,just tryna inspired thats  ,4
52,-0.31683057908430506,-0.23266128466875405,n't night ca early workouts enough better much  ,4
53,-0.4180092514103879,-0.38533788194589147,see went purple n't ca way hot bob royal ass austin wait well color love ur woot annnd  ,4
54,-0.12275763624807014,-0.121891271528297,spike songs buffy met vivian one i got faith bunch faves body nerf quot herder  ,4
55,-0.205228152046887,-0.183045033411187,check gt wallpaper  ,4
56,-0.14069447786261094,-0.13345065175513274,hope great morning ahead everyone day tweetland long  ,4
57,-0.1633319346037512,-0.16704876238056982,uploading friendster pictures  ,4
58,-0.16160306313852407,-0.14348540588775147,pic days aw thanks dont love i  ,4
59,-0.14083046921782186,-0.1532005241037828,tonight noodlebox amanda  ,4
60,-0.20592978341200271,-0.1410726616868597,girlfriend jonas kevin different sorrry things i  ,4
61,-0.14001813562581178,-0.16921363792551575,lsd whoa singing maybe serious like.. hehe lolol j/k  ,4
62,-0.1429117437978636,-0.35162385731524537,loving life  ,4
63,-0.12981841294182797,-0.2128501206113659,damn ] sicilians planet best pizza says love [ i  ,4
64,-0.19362887007156918,-0.24117247604771777,gf chocolate loves milk yeah..  ,4
65,-0.17063623496458322,-0.16885683779163912,mine tomorrow tour going sutter old creek  ,4
66,-0.19387456010283055,-0.17385458464103146,coach soon personally become look cho strawberry going i  ,4
67,-0.13205286453782708,-0.12390443418625136,side losiento mesa guess live east earth  ,4
68,-0.1768495709831792,-0.16366265686863624,apart tryouts sore  ,4
69,-0.19333171864719492,-0.10967008122209232,keeen go days failed test holidays homo physics  ,4
70,-0.16774377029187668,-0.11630332407173158,seems great just improving looks look update alexa observed website  ,4
71,-0.1883847519179612,-0.16673270402038134,tell now geeking totally right us i  ,4
72,-0.11344114926869618,-0.11046732203949576,whenever want wherever go spacecowboy wish kids either work bonjour i  ,4
73,-0.18701634818135315,0.10874940833679302,goodnight  ,4
74,-0.16783753099348203,-0.15642235269214805,weird lol sick quite brother my  ,4
75,-0.16699870380163118,0.12220662141704913,hope cookie* hug feel better  ,4
76,-0.20057692744052377,0.3371667998719464,real hey hugs n't want rundown care hope take it i jon  ,4
77,-0.20961906793304597,-0.2009155757304582,wrote and poor hardcore spelling just highlighter toilet wash will wall correct  ,4
78,-0.15315124857456383,-0.13551825363837708,clubzone good dinner sushi tech meeting  ,4
79,-0.15339662307405186,-0.13678837711416553,thanks suggesting rock hook bro  ,4
80,-0.17266067846309116,-0.2945107493491345,thought n't go one i version know depends  ,4
81,-0.151784129403911,-0.13529231094029415,hurt weak yet doesnt much turn cant anyone punch still knobs pretty hand  ,4
82,0.5791247842064352,-0.048741924899215486,interesting lurkers now  ,4
83,-0.5826982088236,0.20627869392888565,north need mine still ee vote decide b ninage moovarolage hithavaru  ,4
84,-0.1517742457201799,-0.16078249017933846,um quality extra bought baby real paid sewed shit tag highest oach i koreans  ,4
85,-0.3035278576608833,0.12384602366531719,eating ice-cream chocolate topping  ,4
86,-0.18184090815149428,-0.12367931142979845,go step diddy lets telling me.. finished crunches  ,4
87,-0.1519787397164148,-0.1630675336504332,possible n't daaang guys long talk know  ,4
88,-0.21011369816962386,-0.15539815617569055,francisco west jose san mostly  ,4
89,-0.1883166853844326,-0.19282905319433882,nikki knee trying good working injury recover ass bike  ,4
90,-0.14998320272928245,-0.13695954959097031,need come unpack i help let afternoon sat love know  ,4
91,-0.20204330715966842,-0.18382144719694649,lt awesome shenagians team  ,4
92,-0.21679887704093442,-0.11446029334189095,chilling probably regret music gon back kick na till done work getting listening  ,4
93,-0.23232254714476028,0.29768313294504406,study think attraction timeless step wow amp law now rich so grow program amazing i  ,4
94,-0.1988778415824557,-0.20973121572846384,good really in glad week way crazy though feeling i it better oh  ,4
95,-0.14630045803587438,-0.1415987168446156,days comes summer days home till chris  ,4
96,-0.1594896536838206,-0.13860738616541554,days around yeah now  ,4
97,-0.1304303634056963,-0.12786806784334356,tell drinking lol one tweet first i  ,4
98,-0.11745281701404899,-0.11356631832196287,kay thanks  ,4
99,-0.19461412416769483,-0.13918821756179556,goodnight  ,4
100,-0.15677001732244636,-0.14729297137299505,watched really going game years baseball back determined anyone interested sport i  ,4
101,-0.20719441088219048,-0.1743679669512503,good becca good sleep  ,4
102,-0.17261737163884042,-0.1731683032244962,nkow lexington ky next home ohhh rite ur  ,4
103,-0.17829236792486347,-0.15430796550322803,w/ nuts broad seems just preview go wow amp movie beyonce crazy seen one quot obsessed  ,4
104,-0.14750719445307375,-0.13328620235281677,rider easy fall asleep till i  ,4
105,-0.15052242260224227,-0.1538507468805484,excited broadcast live paris-roubaix i  ,4
106,-0.17880997321478945,-0.21780833843392974,good real moment missssssssss much  ,4
107,-0.16498123382008753,-0.03288674041153202,gyms n't people without home jungle i survive winter know two  ,4
108,-0.14564697316326902,-0.14066641969080915,just started but holidayholiday last one work  ,4
109,-0.24585687088599945,-0.12233746054747986,greek watchin knighty knight  ,4
110,-0.1858263910854503,-0.14070181346974042,room profile client working media design love  ,4
111,-0.13627176624022871,-0.13207715245360868,sexy stalk now ass lame..hahaha pretty yay  ,4
112,-0.23035095751079984,-0.26889699216154117,aww thanks  ,4
113,-0.13324222450166553,-0.10632808453043159,school good excited yet tomorrow kinda til another ahh nite everyone day i first nervous nitey  ,4
114,-0.19106547176328664,-0.16450947021898416,thinking planning  ,4
115,-0.14218105614041615,-0.11736119942885136,hopin.. happier sleep time go tomorrow check whatever now enough.. good fb store i  ,4
116,-0.13392386714367474,-0.13390214071555823,now mean old things i  ,4
117,-0.12187289644292165,-0.1154569990168389,listening morning  ,4
118,-0.22407731189800817,-0.1840556891154492,thank  ,4
119,-0.2192330675338431,-0.29305406047189986,need short life every choices glad enjoyed yes no thanks struggle make day pam *now* better  ,4
120,-0.14798019486799335,-0.12529444234775722,reading lot great that course say hmm haha tonight i of late  ,4
"121,1.3934785118221882,-0.86412318611973,""wow times 100,000 congrats followers i almost  "",4"
122,-0.16088897696384238,-0.1573216062593886,time are really going getting wondering just around this any we be thanks to updates i screaming nm  ,4
123,-0.1927823168517065,-0.16690595860800356,freakin .haha cooool love twitter  ,4
124,-0.1697242337095858,-0.20423765611314368,nothing wrong caring try maybe care much  ,4
125,-0.17304150157303094,-0.13632004265034378,brissa -lauren even twitter know  ,4
126,-0.1265197233232132,-0.12477691528584305,story thought great love i  ,4
127,-0.1520453269611592,-0.13693279384396717,no looking mirror  ,4
128,-0.15053503970710022,-0.30731335159283446,without thanks done n't  ,4
129,-0.1519712379185818,-0.1368764713418662,neat moment sharing thanks general lt spiritual wow apologize overitnow god public twitter  ,4
130,-0.2846879909133812,-0.09970410268509478,ontario 31 days i leave  ,4
131,-0.286944788195056,-0.05822349839774813,see fam just 16-mo-old spoke little via growing love nephew  ,4
132,-0.13643700494909491,-0.11917928375031193,tell ahh mcfly loser someones sucks spoken written haha saw got  ,4
133,-0.14711403644043258,-0.12143381077775174,laundry woman holy  ,4
134,-0.1539380791958488,-0.1428545174295926,go back hate trainer i got  ,4
135,-0.16419374798254288,-0.17321720428430953,lol funny youã¯â¿â½re fucking  ,4
136,-0.15729407475197688,-0.12782977199678208,touch today ipod working mine officially setting  ,4
137,-0.16590588230741882,-0.1273683581354778,saw yesterday.. tvc worked  ,4
138,-0.09547527572402208,-0.3021778512515238,fat mannies say peddies face totally shut i jon  ,4
139,-0.1708844078820042,-0.13738248194436564,good come ideas ones nominating well run hahaha i  ,4
140,-0.14181812737997507,-0.13562992644909574,good friend beer but night always feels always never that monday  ,4
141,-0.1434040038917422,-0.12355774560704363,follows one usually  ,4
142,-0.21273066820798253,-0.13564956828884656,72 special thanks  ,4
143,-0.1882240706356552,-0.08667829270555313,something n't tbs good lauren luck leak wait rest ca cast  ,4
144,-0.19791005671042328,-0.16162218634682124,shoot among for miss even land the moon stars  ,4
145,-0.1667898423503432,-0.14716197601143063,need sleep creative n't entirely @ amp vibrant reason hmm night agree i  ,4
146,-0.19921776145076803,-0.1926867475155793,holla tryna mixtape coming hows nada  ,4
147,-0.20558982992032984,-0.2270572096259487,points makes easier 140 yep across much  ,4
148,-0.11535733417208419,-0.11194487464788558,scholarly already hurt freezer-worthy eyes attention given set another the i suppose  ,4
149,-0.25234789984375383,0.3188016869081335,cupcakes  ,4
150,-0.2188619937347757,-0.16200153833375674,and language entire english favor thing use using shit think i wonderful  ,4
151,-0.17189780489983067,-0.3682996256589229,try maybe saying haha it.. u  ,4
152,-0.20520256825293715,-0.3238377064139636,snowing school walk flippin raining days next ago outside today back sunny day long cold  ,4
153,-0.197117821944609,-0.2606890132680871,kindred bed raw tub now must spirits dough cookie ate i we  ,4
154,-0.17543133290853394,-0.021223828500506664,watched agreed : thought great movie dancing random dirty internet song.. night nighty  ,4
155,-0.18493307544348808,-0.15692443832176478,tweetdeck facebook just time use update twitter  ,4
156,-0.1914255646920382,-0.16274442578954615,awesome see dude always surprised tweeting stars  ,4
157,-0.1959753399932236,-0.156385798439035,bed go try gon na night figure k.  ,4
158,-0.13368150965962114,0.14882491492329458,-fuck malcolm megan lt night llama theatre amazing  ,4
159,-0.16674295927757163,-0.16212150431667255,just martini  ,4
160,-0.19962869374771125,0.0514971126066628,school morning city soo home happy day  ,4
161,-0.20543834461484958,-0.12485623058907996,break= watching spring week everyday moviess day my  ,4
162,-0.2312626234176143,-0.15459287955677192,george wants ice rulesss chest beef. lopez grandpa quot  ,4
163,-0.21917983421575304,-0.014409883379331027,well speak easy heading katie homey stellar night thank take club  ,4
164,-0.15976611175352182,-0.14711878216739688,flowers amp where peter fav gone paul def my mary  ,4
165,-0.23768970433167283,-0.28588914299933743,watch hills shhhhhhhhhh .time  ,4
"166,-0.1833642305042073,-0.14503462969920577,""went alone views count hit china 5,000 way posting new kids love website photos  "",4"
167,-0.20252388413611974,-0.17642041216275806,came oh real excited we back appreciate guys us u put jon  ,4
168,-0.17674712159447428,-0.15148559790127403,provided thank kiddin home everywhere broadband pretty am i much  ,4
169,-0.17229354366229516,-0.14830777313916657,good workout sleep night always callin best i  ,4
170,-0.12321546274979626,-0.13496973687153616,good pretty feels n't  ,4
171,-0.14684139801338378,-0.1405880344307217,go hash bash anyway..  ,4
172,-0.18679369271255886,-0.16717205894148265,correction badass got fringe  ,4
173,-0.344120296478468,0.4634940664331177,upto hows hmmm sure day u  ,4
174,-0.16308729442183598,0.3330188863284933,tv cheating bn christmas caught yrold who fun reflection quot looking kids agree i it my got  ,4
175,-0.18595755941983375,0.7718088200151795,blue hair my  ,4
176,-0.21348475113725301,-0.22224364576419905,great thank words night appreciate kind have i  ,4
177,-0.1696228038624138,-0.14863819496007605,stressing break days spring .2 test till uhhh math  ,4
178,-0.14382287226390075,-0.13817887536715925,need really driver plus designated pch uh  ,4
179,-0.15692815947184655,-0.15820881980028081,bout chucklin whatcha ms.yen  ,4
180,-0.09032495842999949,-0.14245731370636625,work awesome place gym  ,4
181,-0.20070462248110368,0.11801638422214665,need really .. hills hmmm sining climbing think  ,4
182,-0.1828780892295998,-0.16437190299668428,$ game just unc won 20  ,4
183,-0.17886932912079317,-0.1785848097652293,bed really prepare tired g'night going  ,4
184,-0.22054471603892759,-0.2590616887240964,fountain life include will new magic story  ,4
185,-0.15863684738746858,-0.13793629059124884,may tomorrow lol course im ipod getting little trusty boring trip always nervous well books haha oh  ,4
186,-0.1534734398791387,-0.14748596560157828,going bed maybe fall asleep laptop thinking i anastasia put  ,4
187,-0.2078087158597999,-0.23112801657768645,top love ur i  ,4
188,-0.27619968664085426,-0.197813792766446,manual pushing buzzing someone boundaries boy sietar make money still old twitter thanks  ,4
189,-0.173224110446969,-0.13332704364268944,neck good aches arrive will back swopper quot get help waiting chair terrible i  ,4
190,-0.09956504990162718,-0.17671378438971275,yeah downloading definitely hellz thanks  ,4
191,-0.14857558145714878,-0.11964142063129057,cute stinkin  ,4
192,-0.27036569307537567,-0.16561646422768217,hahah yet soon  ,4
193,-0.15217258412442,-0.0951712413652626,listed see looks nice blog popular recent posts great very new happy design together post  ,4
194,-0.2133662734311713,-0.08478510755382983,common much friend  ,4
195,-0.5677585665720001,-2.122174892727077,wan come twit n't find animals but police na call dog i save u better  ,4
196,-0.13479621719482285,-0.13349611355876165,ung ng mo nilagyan mix seasoning ba knorr hehehe ulit heaven teka pancakes eggs  ,4
197,-0.23118258608347778,-0.1417770557038535,hello westney x  ,4
198,-0.16298860839837875,-0.14751285067304754,seems strokes pretty boring night comparison tonight well experienced  ,4
199,-0.16218509052132138,-0.16582456743286283,eyelashes giraffe way i love draw  ,4
200,-0.13659565721245262,-0.11655964490873712,bock yes shiner thanks ahhh relive austin i twitter  ,4
201,-0.1970559931558364,-0.20708232200993548,read glad  ,4
202,-0.15041028641060572,-0.14550476103903806,finally spring evening outside beautiful warm feels weather spent  ,4
203,-0.2071696563844129,-0.15952742506238307,madison pullin bffl nighter wit  ,4
204,-0.18599038829678086,-0.136276642901784,sequels n't great ca putting thanks event inevitable wait  ,4
205,-0.10841144249016851,-0.10511597108534597,n't find times know hearing row hilarious doooo still i  ,4
206,-0.08229445756665116,-0.1554702908895897, ,4
207,-0.13839776996308295,-0.13358562190217468,play big piano oaf  ,4
208,-0.1293314411320941,-0.15834074728464825,tea bitch bryon  ,4
209,-0.18166470214235161,-0.14009987090080525,oh hand you stay  ,4
210,-0.18610972559256622,-0.14883786991759496,mom gon na help twitter i  ,4
211,-0.2548453005999737,-0.08262837483464132,late.. office entire .reached yup match saw  ,4
212,-0.1677783239331151,-0.15319268904134054,blessings bed n't night amp tomorrow prayers i today love working harder peace bored going bb my  ,4
213,-0.26237452435990527,-0.16027726948404944,soon beat trying back traffic hope ya  ,4
214,-0.2430162802827116,-0.20065041166252684,third wins series new final years test wasnt if won 41 zealand day india rain  ,4
215,-0.1167237182302118,-0.1120935843511004,driving there road was old side bike parking madras called concept  ,4
216,-0.12897434132800417,-0.12663172036578868,apply class i  ,4
217,-0.21663184456903353,-0.23543742855976083,manga reading  ,4
218,-0.1834612028239597,-0.1519784504132025,songs .it joy moment thanks seemed show bring right love your i  ,4
219,-0.10841144249016851,-0.10511597108534597,please niqqa fool now ackin roflmao  ,4
220,-0.1648377210143762,-0.11983188055425403, ,4
221,-0.14411437113395575,-0.16733346443582597,website seems knew check fyi though wanted pity sure i  ,4
222,-0.18563563015459758,-0.19578410416529118,right let make  ,4
